Fecha;Hora;Temperatura
05/22/23;8:00:00;19.662
05/22/23;9:00:00;19.853
05/22/23;10:00:00;21.091
05/22/23;11:00:00;21.664
05/22/23;12:00:00;23.484
05/22/23;1:00:00;22.238
05/22/23;2:00:00;18.045
05/22/23;3:00:00;19.472
05/22/23;4:00:00;22.621
05/22/23;5:00:00;22.046
05/22/23;6:00:00;9.373
05/22/23;7:00:00;7.28
05/22/23;8:00:00;7.179
05/22/23;9:00:00;6.573
05/22/23;10:00:00;6.471
05/22/23;11:00:00;6.37
05/23/23;12:00:00;6.471
05/23/23;1:00:00;6.166
05/23/23;2:00:00;5.86
05/23/23;3:00:00;4.831
05/23/23;4:00:00;4.623
05/23/23;5:00:00;4.415
05/23/23;6:00:00;4.102
05/23/23;7:00:00;4.311
05/23/23;8:00:00;6.471
05/23/23;9:00:00;9.373
05/23/23;10:00:00;11.431
05/23/23;11:00:00;11.041
05/23/23;12:00:00;12.883
05/23/23;1:00:00;14.23
05/23/23;2:00:00;15.76
05/23/23;3:00:00;15.951
05/23/23;4:00:00;12.497
05/23/23;5:00:00;11.041
05/23/23;6:00:00;8.082
05/23/23;7:00:00;6.674
05/23/23;8:00:00;5.86
05/23/23;9:00:00;4.831
05/23/23;10:00:00;4.623
05/23/23;11:00:00;5.037
05/24/23;12:00:00;4.519
05/24/23;1:00:00;3.155
05/24/23;2:00:00;3.788
05/24/23;3:00:00;3.683
05/24/23;4:00:00;1.003
05/24/23;5:00:00;0.563
05/24/23;6:00:00;1.33
05/24/23;7:00:00;4.102
05/24/23;8:00:00;7.179
05/24/23;9:00:00;11.236
05/24/23;10:00:00;12.69
05/24/23;11:00:00;15.569
05/24/23;12:00:00;17.95
05/24/23;1:00:00;17.76
05/24/23;2:00:00;20.615
05/24/23;3:00:00;13.365
05/24/23;4:00:00;9.965
05/24/23;5:00:00;8.581
05/24/23;6:00:00;6.775
05/24/23;7:00:00;5.141
05/24/23;8:00:00;5.757
05/24/23;9:00:00;3.367
05/24/23;10:00:00;3.049
05/24/23;11:00:00;4.519
05/25/23;12:00:00;4.727
05/25/23;1:00:00;5.141
05/25/23;2:00:00;4.727
05/25/23;3:00:00;4.727
05/25/23;4:00:00;4.415
05/25/23;5:00:00;4.415
05/25/23;6:00:00;4.415
05/25/23;7:00:00;4.934
05/25/23;8:00:00;7.882
05/25/23;9:00:00;8.879
05/25/23;10:00:00;12.207
05/25/23;11:00:00;13.461
05/25/23;12:00:00;13.942
05/25/23;1:00:00;16.332
05/25/23;2:00:00;17.475
05/25/23;3:00:00;16.046
05/25/23;4:00:00;13.365
05/25/23;5:00:00;9.768
05/25/23;6:00:00;7.481
05/25/23;7:00:00;5.757
05/25/23;8:00:00;4.727
05/25/23;9:00:00;4.934
05/25/23;10:00:00;3.367
05/25/23;11:00:00;3.261
05/26/23;12:00:00;4.102
05/26/23;1:00:00;2.088
05/26/23;2:00:00;3.261
05/26/23;3:00:00;2.943
05/26/23;4:00:00;1.112
05/26/23;5:00:00;1.872
05/26/23;6:00:00;1.872
05/26/23;7:00:00;3.578
05/26/23;8:00:00;6.674
05/26/23;9:00:00;8.382
05/26/23;10:00:00;9.571
05/26/23;11:00:00;8.68
05/26/23;12:00:00;10.063
05/26/23;1:00:00;12.401
05/26/23;2:00:00;13.558
05/26/23;3:00:00;15.378
05/26/23;4:00:00;19.853
05/26/23;5:00:00;13.558
05/26/23;6:00:00;9.176
05/26/23;7:00:00;5.347
05/26/23;8:00:00;4.519
05/26/23;9:00:00;4.311
05/26/23;10:00:00;4.623
05/26/23;11:00:00;4.934
05/27/23;12:00:00;4.831
05/27/23;1:00:00;4.519
05/27/23;2:00:00;4.415
05/27/23;3:00:00;4.727
05/27/23;4:00:00;4.623
05/27/23;5:00:00;4.727
05/27/23;6:00:00;4.934
05/27/23;7:00:00;5.347
05/27/23;8:00:00;6.674
05/27/23;9:00:00;8.082
05/27/23;10:00:00;9.669
05/27/23;11:00:00;9.669
05/27/23;12:00:00;11.334
05/27/23;1:00:00;14.038
05/27/23;2:00:00;15.378
05/27/23;3:00:00;10.944
05/27/23;4:00:00;18.521
05/27/23;5:00:00;14.996
05/27/23;6:00:00;7.682
05/27/23;7:00:00;5.141
05/27/23;8:00:00;3.367
05/27/23;9:00:00;3.155
05/27/23;10:00:00;3.893
05/27/23;11:00:00;3.578
05/28/23;12:00:00;4.519
05/28/23;1:00:00;4.623
05/28/23;2:00:00;3.893
05/28/23;3:00:00;3.261
05/28/23;4:00:00;2.73
05/28/23;5:00:00;3.998
05/28/23;6:00:00;4.623
05/28/23;7:00:00;5.45
05/28/23;8:00:00;4.519
05/28/23;9:00:00;3.367
05/28/23;10:00:00;1.764
05/28/23;11:00:00;4.207
05/28/23;12:00:00;7.481
05/28/23;1:00:00;11.625
05/28/23;2:00:00;11.916
05/28/23;3:00:00;12.013
05/28/23;4:00:00;13.654
05/28/23;5:00:00;9.965
05/28/23;6:00:00;6.573
05/28/23;7:00:00;5.037
05/28/23;8:00:00;2.195
05/28/23;9:00:00;2.195
05/28/23;10:00:00;1.656
05/28/23;11:00:00;3.683
05/29/23;12:00:00;3.788
05/29/23;1:00:00;3.788
05/29/23;2:00:00;3.893
05/29/23;3:00:00;4.102
05/29/23;4:00:00;3.472
05/29/23;5:00:00;3.578
05/29/23;6:00:00;3.893
05/29/23;7:00:00;4.415
05/29/23;8:00:00;7.079
05/29/23;9:00:00;7.882
05/29/23;10:00:00;10.259
05/29/23;11:00:00;13.461
05/29/23;12:00:00;12.69
05/29/23;1:00:00;14.517
05/29/23;2:00:00;12.883
05/29/23;3:00:00;13.75
05/29/23;4:00:00;13.173
05/29/23;5:00:00;10.259
05/29/23;6:00:00;7.079
05/29/23;7:00:00;6.471
05/29/23;8:00:00;6.166
05/29/23;9:00:00;5.86
05/29/23;10:00:00;5.552
05/29/23;11:00:00;5.45
05/30/23;12:00:00;5.141
05/30/23;1:00:00;4.934
05/30/23;2:00:00;5.037
05/30/23;3:00:00;4.831
05/30/23;4:00:00;4.415
05/30/23;5:00:00;3.472
05/30/23;6:00:00;3.683
05/30/23;7:00:00;4.727
05/30/23;8:00:00;5.655
05/30/23;9:00:00;9.176
05/30/23;10:00:00;9.571
05/30/23;11:00:00;11.625
05/30/23;12:00:00;12.69
05/30/23;1:00:00;11.041
05/30/23;2:00:00;11.625
05/30/23;3:00:00;9.768
05/30/23;4:00:00;9.176
05/30/23;5:00:00;12.787
05/30/23;6:00:00;6.674
05/30/23;7:00:00;5.552
05/30/23;8:00:00;5.347
05/30/23;9:00:00;5.037
05/30/23;10:00:00;5.037
05/30/23;11:00:00;4.934
05/31/23;12:00:00;4.727
05/31/23;1:00:00;4.727
05/31/23;2:00:00;4.623
05/31/23;3:00:00;4.311
05/31/23;4:00:00;4.207
05/31/23;5:00:00;4.311
05/31/23;6:00:00;4.623
05/31/23;7:00:00;4.727
05/31/23;8:00:00;5.962
05/31/23;9:00:00;6.775
05/31/23;10:00:00;7.582
05/31/23;11:00:00;9.669
05/31/23;12:00:00;7.983
05/31/23;1:00:00;8.879
05/31/23;2:00:00;9.176
05/31/23;3:00:00;9.472
05/31/23;4:00:00;8.282
05/31/23;5:00:00;7.179
05/31/23;6:00:00;5.037
05/31/23;7:00:00;4.727
05/31/23;8:00:00;4.311
05/31/23;9:00:00;4.207
05/31/23;10:00:00;4.207
05/31/23;11:00:00;4.102
44932;;3.998
44932,04;6666667;3.998
44932,08;3333333;3.788
44932,12;;3.578
44932,16;6666667;3.261
44932,2;3333333;3.367
44932,25;;3.261
44932,29;6666667;3.578
44932,33;3333333;4.623
44932,37;;5.244
44932,41;6666667;7.381
44932,45;3333333;7.882
44932,5;;9.077
44932,54;6666667;9.472
44932,58;3333333;7.179
44932,62;;6.978
44932,66;6666667;6.471
44932,7;3333333;5.141
44932,75;;4.831
44932,79;6666667;4.519
44932,83;3333333;4.207
44932,87;;4.207
44932,91;6666667;4.207
44932,95;3333333;4.311
44963;;4.207
44963,04;6666667;4.311
44963,08;3333333;4.207
44963,12;;4.311
44963,16;6666667;4.311
44963,2;3333333;4.311
44963,25;;4.311
44963,29;6666667;5.037
44963,33;3333333;6.166
44963,37;;6.775
44963,41;6666667;8.182
44963,45;3333333;8.282
44963,5;;12.497
44963,54;6666667;11.819
44963,58;3333333;8.779
44963,62;;9.768
44963,66;6666667;9.176
44963,7;3333333;7.481
44963,75;;6.978
44963,79;6666667;4.623
44963,83;3333333;4.727
44963,87;;4.102
44963,91;6666667;4.207
44963,95;3333333;4.311
44991;;4.311
44991,04;6666667;4.311
44991,08;3333333;4.311
44991,12;;4.207
44991,16;6666667;3.893
44991,2;3333333;3.472
44991,25;;3.155
44991,29;6666667;3.893
44991,33;3333333;6.166
44991,37;;7.582
44991,41;6666667;8.182
44991,45;3333333;8.879
44991,5;;12.69
44991,54;6666667;14.996
44991,58;3333333;11.722
44991,62;;9.866
44991,66;6666667;8.481
44991,7;3333333;9.571
44991,75;;5.244
44991,79;6666667;4.102
44991,83;3333333;4.102
44991,87;;3.683
44991,91;6666667;2.624
44991,95;3333333;3.155
45022;;4.102
45022,04;6666667;4.207
45022,08;3333333;4.102
45022,12;;4.207
45022,16;6666667;4.415
45022,2;3333333;3.998
45022,25;;3.683
45022,29;6666667;3.155
45022,33;3333333;3.788
45022,37;;7.983
45022,41;6666667;8.082
45022,45;3333333;7.28
45022,5;;7.782
45022,54;6666667;6.775
45022,58;3333333;9.176
45022,62;;11.334
45022,66;6666667;12.497
45022,7;3333333;9.669
45022,75;;5.962
45022,79;6666667;4.623
45022,83;3333333;4.623
45022,87;;4.311
45022,91;6666667;4.207
45022,95;3333333;4.311
45052;;4.207
45052,04;6666667;4.102
45052,08;3333333;3.893
45052,12;;3.683
45052,16;6666667;3.578
45052,2;3333333;2.73
45052,25;;2.624
45052,29;6666667;3.049
45052,33;3333333;5.141
45052,37;;4.831
45052,41;6666667;5.244
45052,45;3333333;6.064
45052,5;;6.877
45052,54;6666667;8.978
45052,58;3333333;7.481
45052,62;;8.182
45052,66;6666667;8.68
45052,7;3333333;7.481
45052,75;;5.347
45052,79;6666667;4.415
45052,83;3333333;4.207
45052,87;;4.207
45052,91;6666667;4.102
45052,95;3333333;4.102
45083;;4.311
45083,04;6666667;4.207
45083,08;3333333;4.311
45083,12;;4.415
45083,16;6666667;4.311
45083,2;3333333;4.519
45083,25;;4.519
45083,29;6666667;4.623
45083,33;3333333;5.141
45083,37;;6.166
45083,41;6666667;7.782
45083,45;3333333;9.077
45083,5;;10.944
45083,54;6666667;9.176
45083,58;3333333;7.682
45083,62;;9.472
45083,66;6666667;9.866
45083,7;3333333;6.978
45083,75;;5.552
45083,79;6666667;5.037
45083,83;3333333;4.831
45083,87;;4.311
45083,91;6666667;4.623
45083,95;3333333;4.519
45113;;4.415
45113,04;6666667;4.311
45113,08;3333333;4.311
45113,12;;4.207
45113,16;6666667;3.893
45113,2;3333333;3.893
45113,25;;3.893
45113,29;6666667;4.415
45113,33;3333333;5.552
45113,37;;6.674
45113,41;6666667;7.983
45113,45;3333333;7.782
45113,5;;8.68
45113,54;6666667;8.779
45113,58;3333333;8.282
45113,62;;9.472
45113,66;6666667;10.455
45113,7;3333333;8.382
45113,75;;6.064
45113,79;6666667;5.141
45113,83;3333333;4.727
45113,87;;4.102
45113,91;6666667;4.311
45113,95;3333333;4.207
45144;;4.102
45144,04;6666667;4.207
45144,08;3333333;4.102
45144,12;;4.102
45144,16;6666667;4.102
45144,2;3333333;4.102
45144,25;;4.102
45144,29;6666667;4.519
45144,33;3333333;5.757
45144,37;;7.983
45144,41;6666667;6.268
45144,45;3333333;6.978
45144,5;;7.882
45144,54;6666667;8.779
